column_name,description
pcard_as_payment_desc,"Provides a description of the use of P-cards in the transaction, offering insights into procurement practices."
clinger_cohen_plan_compliance,"Indicates compliance with the Clinger-Cohen Act, which is important for IT procurement and management."
clinger_cohen_act_desc,"Describes the specifics of the Clinger-Cohen Act compliance, providing context for its application."
walsh_healey_act,"Indicates whether the Walsh-Healey Act applies to the award or IDV, which is relevant for labor standards compliance."
walsh_healey_act_desc,"Provides a description of the Walsh-Healey Act's applicability, offering insights into labor-related requirements."
service_contract_act,"Indicates whether the Service Contract Act applies to the award or IDV, important for labor compliance."
service_contract_act_desc,"Describes the specifics of the Service Contract Act compliance, providing context for its application."
davis_bacon_act,"Indicates whether the Davis-Bacon Act applies to the award or IDV, relevant for wage and labor standards."
davis_bacon_act_desc,"Provides a description of the Davis-Bacon Act's applicability, offering insights into wage-related requirements."
contracting_authority,"Represents the authority responsible for the contracting process, which is important for governance and oversight."
contracting_authority_desc,"Describes the specifics of the contracting authority, providing additional context for its role."
gfe_gfp,Indicates whether Government-Furnished Equipment (GFE) or Government-Furnished Property (GFP) is involved in the award or IDV.
gfe_gfp_desc,"Provides a description of the GFE or GFP involved, offering insights into the resources provided by the government."
consolidated_contract,"Indicates whether the award or IDV is part of a consolidated contract, relevant for understanding contract structure."
consolidated_contract_desc,"Describes the specifics of the consolidated contract, providing additional context for its terms."
fed_biz_opps,"Indicates whether the award or IDV is associated with Federal Business Opportunities, important for procurement visibility."
fed_biz_opps_desc,"Provides a description of the Federal Business Opportunities association, offering insights into procurement processes."
a76_desc,"Describes the A-76 process related to the award or IDV, providing context for its competitive nature."
commercial_item_acquistn_desc,"Provides a description of the acquisition of commercial items, relevant for procurement analysis."
local_area_set_aside,"Indicates whether the award or IDV involves a local area set-aside, which can impact procurement strategies."
lasa_description,"Describes the specifics of the local area set-aside, providing additional context for its application."
agency_identifier,"Represents a unique identifier for the agency involved, facilitating agency-specific analysis."
main_account_code,"Indicates the main account code associated with the award or IDV, relevant for financial tracking."
sub_account_code,Represents the sub-account code for more detailed financial tracking within the main account.
initiative,"Describes the initiative under which the award or IDV falls, providing context for its purpose and goals."
fiscal_year,"Indicates the fiscal year in which the award or IDV was issued, important for financial reporting and analysis."
non_government_value,Represents the value associated with non-government contributions or aspects of the award or IDV.
ngc_participation,"Indicates whether there is participation from non-governmental entities, relevant for understanding collaboration."
ngc_participation_desc,"Provides a description of the non-governmental participation, offering insights into the nature of the collaboration."
type_of_agreement,"Describes the type of agreement under which the award or IDV is issued, important for legal and compliance purposes."
idv_contract_type,"Indicates the type of contract associated with the IDV, relevant for understanding procurement strategies."
idv_type_description,"Provides a description of the IDV type, offering insights into its specific characteristics."
idv_agency_name,"Represents the name of the agency associated with the IDV, facilitating agency-specific analysis."
idv_mul_or_single_award_idc,"Indicates whether the IDV is a multiple or single award, relevant for understanding contract structure."
idv_subcontract_plan,"Indicates whether there is a subcontract plan associated with the IDV, important for compliance and oversight."
idv_subcontract_plan_desc,"Provides a description of the subcontract plan, offering insights into its specifics."
idv_naics,"Represents the North American Industry Classification System (NAICS) code associated with the IDV, useful for industry analysis."
idv_naics_desc,"Provides a description of the NAICS code, offering additional context for industry classification."
idv_co_bus_size,"Indicates the size of the business associated with the IDV, relevant for compliance with federal regulations."
idv_co_bus_size_desc,"Describes the criteria used to determine the business size for the IDV, providing context for compliance."
idv_who_can_use,"Indicates who is eligible to use the IDV, important for understanding access and utilization."
idv_who_can_use_desc,"Provides a description of the eligibility criteria for using the IDV, offering insights into its intended audience."
idv_major_program_code,"Represents the major program code associated with the IDV, facilitating program-specific analysis."
idv_contract_bundling,"Indicates whether the IDV involves contract bundling, relevant for understanding procurement strategies."
idv_contract_bundling_desc,"Describes the specifics of the contract bundling, providing additional context for its application."
idv_type_of_contract,"Categorizes the type of contract associated with the IDV, aiding in contract management and analysis."
idv_type_of_contract_desc,"Provides a description of the IDV contract type, offering further context for understanding contract specifics."
idv_type_of_idc,"Indicates the type of IDC (Indefinite Delivery Contract) associated with the IDV, relevant for contract classification."
idv_type_of_idc_desc,"Describes the IDC type, providing additional context for the nature of the IDV."
idv_program_acronym,"Contains the acronym for the program associated with the IDV, useful for quick reference and identification."
idv_contracting_agency_id,"Represents the ID of the agency responsible for contracting the IDV, facilitating agency-specific tracking."
idv_contracting_agency_name,"The name of the agency that is contracting the IDV, providing clarity on the agency's role."
idv_department_id,"Indicates the ID of the department within the agency responsible for the IDV, useful for departmental analysis."
idv_department_name,"The name of the department associated with the IDV, offering context for departmental responsibilities."
idv_ref_idv_agency_code,"Represents the agency code for any referenced IDV, aiding in cross-referencing and tracking."
idv_ref_idv_piid,"Contains the PIID for any referenced IDV, which can be important for linking related records."
idv_part8_or_part13,"Indicates whether the IDV falls under Part 8 or Part 13 regulations, relevant for compliance and reporting."
idv_type_of_set_aside,"Describes the type of set-aside associated with the IDV, which can impact eligibility and compliance."
idv_type_of_set_aside_desc,"Provides a description of the set-aside type, offering further context for understanding its implications."
idv_extent_competed,"Indicates the extent to which the IDV was competed, which is important for transparency and compliance."
idv_extent_competed_desc,"Describes the extent of competition for the IDV, providing additional context for procurement practices."
idv_solicitation_procedures,"Details the solicitation procedures followed for the IDV, relevant for understanding procurement processes."
idv_solicitation_proc_desc,"Provides a description of the solicitation procedures, offering insights into the procurement methodology."
idv_evaluated_preference,"Indicates whether evaluated preferences were applied in the IDV process, which can affect award decisions."
idv_evaluated_pref_desc,"Describes the evaluated preferences used, providing context for their application in the IDV."
idv_fair_opportunity,"Indicates whether fair opportunity was provided in the IDV process, relevant for compliance and transparency."
idv_fair_opportunity_desc,"Provides a description of the fair opportunity process, offering insights into its implementation."
idv_reason_not_competed,"Details the reason why the IDV was not competed, which is important for compliance and reporting."
idv_reason_not_com_desc,"Describes the reason for not competing the IDV, providing additional context for decision-making."
idv_local_area_set_aside,"Indicates whether the IDV is set aside for local area businesses, relevant for economic development analysis."
idv_lasa_description,"Provides a description of the local area set-aside, offering insights into its objectives and scope."
idv_psc_code,"Represents the PSC (Product Service Code) associated with the IDV, useful for categorizing the type of services or products involved."
idv_psc_desc,"Describes the PSC, providing additional context for understanding the nature of the services or products."
idv_signed_date,"Indicates the date the IDV was signed, which is important for tracking the timeline of the award process."
idv_effective_date,"Represents the date the IDV becomes effective, relevant for understanding the start of obligations."
idv_last_date_to_order,"Indicates the last date on which orders can be placed under the IDV, important for contract management."
idv_number_of_offers,"Represents the number of offers received for the IDV, which can provide insights into competition levels."
idv_ciap,"Indicates whether the IDV is part of the CIAP (Commercial Item Acquisition Program), relevant for procurement strategies."
idv_ciap_desc,"Provides a description of the CIAP, offering insights into its objectives and scope."
idv_citp,"Indicates whether the IDV is part of the CITP (Commercial Item Test Program), relevant for understanding procurement practices."
idv_solicitation_id,"Represents the ID associated with the solicitation for the IDV, useful for tracking and reference."
idv_fiscal_year,"Indicates the fiscal year associated with the IDV, important for financial reporting and analysis."
idv_mul_or_single_comp,"Describes whether the IDV was awarded as a multiple or single competition, relevant for procurement analysis."
idv_version,"Indicates the version of the IDV, which can be important for tracking changes and updates."
idv_dollars_obligated,"Represents the total dollars obligated under the IDV, crucial for financial analysis and reporting."
idv_current_contract_value,"Indicates the current value of the contract associated with the IDV, important for financial tracking."
idv_ultimate_contract_value,"Represents the ultimate value of the contract, which can provide insights into long-term financial commitments."
idv_recovered_material_clauses,"Indicates whether recovered material clauses are included in the IDV, relevant for compliance and sustainability."
idv_rcra_desc,"Provides a description of the RCRA (Resource Conservation and Recovery Act) clauses, offering insights into regulatory compliance."
part8_or_part13,"Indicates whether the award falls under Part 8 or Part 13 regulations, relevant for compliance and reporting."
award_fiscal_year,"Represents the fiscal year associated with the award, important for financial reporting and analysis."
clod_date,"Indicates the date of the CLod (Contract Line Item Description), which is important for tracking contract details."
post_clod_mod,"Describes any modifications made after the CLod, relevant for understanding changes in contract terms."
v14_part8_bpa_or_call,"Indicates whether the record pertains to a Part 8 BPA (Blanket Purchase Agreement) or call, relevant for procurement classification."
co_address_line_1,"Contains the first line of the address for the contracting office, important for correspondence and documentation."
co_address_line_2,"Provides additional address information for the contracting organization, ensuring complete contact details."
co_address_city,"Indicates the city of the contracting organization, which is necessary for geographical identification."
co_address_state,"Represents the state of the contracting organization, aiding in regional analysis and compliance."
co_address_country,"Specifies the country of the contracting organization, important for international procurement considerations."
co_zip_code,"The zip code for the contracting organization, which is essential for accurate address representation."
fo_address_line_1,"The primary address line for the funding organization, ensuring clear identification of the funding source."
fo_address_line_2,"Provides additional address information for the funding organization, ensuring complete contact details."
fo_address_city,"Indicates the city of the funding organization, which is necessary for geographical identification."
fo_address_state,"Represents the state of the funding organization, aiding in regional analysis and compliance."
fo_address_country,"Specifies the country of the funding organization, important for international procurement considerations."
fo_zip_code,"The zip code for the funding organization, which is essential for accurate address representation."
preparedby_firstname,"The first name of the individual who prepared the record, useful for accountability and follow-up."
preparedby_lastname,"The last name of the individual who prepared the record, providing full identification for accountability."
lastmodified_firstname,"The first name of the individual who last modified the record, important for tracking changes and accountability."
lastmodified_lastname,"The last name of the individual who last modified the record, providing full identification for accountability."
has_interagency_orders,"Indicates whether there are any interagency orders associated with the record, which can impact compliance and coordination."
parent_duns_number,"The DUNS number of the parent organization, which is crucial for identifying the broader corporate structure."
parent_vendor_name,"The name of the parent vendor, providing context for the organizational hierarchy."
parent_st_add_1,"The primary address line for the parent organization, ensuring clear identification of the parent entity."
parent_st_add_2,"Provides additional address information for the parent organization, ensuring complete contact details."
parent_city,"Indicates the city of the parent organization, which is necessary for geographical identification."
parent_postal_code,"The postal code for the parent organization, which is essential for accurate address representation."
parent_country_code,"Specifies the country code for the parent organization, important for international considerations."
parent_state_code,"Represents the state code for the parent organization, aiding in regional analysis."
domestic_duns_number,"The DUNS number for the domestic vendor, which is crucial for identifying the vendor's status."
domestic_vendor_name,"The name of the domestic vendor, providing context for the procurement process."
domestic_st_add_1,"The primary address line for the domestic vendor, ensuring clear identification of the vendor."
domestic_st_add_2,"Provides additional address information for the domestic vendor, ensuring complete contact details."
domestic_city,"Indicates the city of the domestic vendor, which is necessary for geographical identification."
domestic_postal_code,"The postal code for the domestic vendor, which is essential for accurate address representation."
domestic_country_code,"Specifies the country code for the domestic vendor, important for international considerations."
domestic_state_code,"Represents the state code for the domestic vendor, aiding in regional analysis."
global_duns_number,"The DUNS number for the global vendor, which is crucial for identifying the vendor's status internationally."
global_vendor_name,"The name of the global vendor, providing context for the international procurement process."
global_st_add_1,"The primary address line for the global vendor, ensuring clear identification of the vendor."
global_st_add_2,"Provides additional address information for the global vendor, ensuring complete contact details."
global_city,"Indicates the city of the global vendor, which is necessary for geographical identification."
global_postal_code,"The postal code for the global vendor, which is essential for accurate address representation."
global_country_code,"Specifies the country code for the global vendor, important for international considerations."
global_state_code,"Represents the state code for the global vendor, aiding in regional analysis."
sys_last_modified_date,"Records the last date and time the entry was modified, which is important for tracking changes over time."
contract_sub_type,"Describes the subtype of the contract, providing additional granularity for analysis."
pre_award_synopsis_desc,"Offers a description of the pre-award synopsis, which is important for understanding the procurement process."
swe_short_description,"Provides a brief description of the SWE (Software Engineering) aspect of the award or IDV, useful for quick reference."
sea_transportation_desc,"Describes any sea transportation aspects related to the award or IDV, which can be relevant for logistics."
contingency_ops_desc,"Offers a description of the contingency operations related to the award or IDV, important for operational planning."
contract_financing_desc,"Describes the financing arrangements for the contract, which is crucial for financial analysis."
contract_bundling_desc,"Provides a description of any bundling arrangements in the contract, which can impact compliance and procurement strategies."
subcontract_plan_desc,"Offers a description of the subcontracting plan associated with the award or IDV, important for understanding subcontracting practices."
co_bus_size_determination_desc,"Describes the determination made regarding the size of the business, providing context for compliance and eligibility."
ccr_exception_type_desc,"Describes the type of exception related to the CCR process, providing clarity on compliance issues."
vendor_name_alternate,"An alternate name for the vendor, which can be useful for cross-referencing and verification."
vendor_legal_organization_name,"The legal name of the vendor organization, important for formal documentation and contracts."
vendor_fax_number,"The fax number for the vendor, which may be relevant for communication purposes."
vendor_site_code,"A code representing the specific site of the vendor, useful for location-based analysis."
vendor_site_code_alternate,"An alternate site code for the vendor, providing additional reference for site identification."
vendor_division_name,"The name of the division within the vendor organization, which can help in understanding the structure of the vendor."
vendor_division_number,"A number representing the division of the vendor, useful for internal tracking and organization."
it_commercial_item_cat_desc,"Describes the category of IT commercial items involved, relevant for procurement and compliance assessments."
ref_idv_agency_name,"The name of the agency associated with the reference IDV, providing context for the relationship."
state_of_incorp_desc,"Describes the state in which the vendor is incorporated, which can have legal and tax implications."
cost_or_pricing_data_desc,"Provides a description of the cost or pricing data associated with the award or IDV, important for financial analysis."
country_of_incorp_desc,"Describes the country in which the vendor is incorporated, relevant for international compliance and analysis."
alternative_advertising_code,"A code representing alternative advertising methods used, which can be important for compliance tracking."
contract_fiscal_year,"Indicates the fiscal year associated with the contract, useful for financial reporting and analysis."
inherently_governmental_code,"A code indicating whether the work is inherently governmental, which is critical for compliance with procurement regulations."
inherently_governmental_desc,"Describes the nature of the inherently governmental work, providing context for compliance assessments."
reason_for_purchase_desc,"Describes the rationale behind the purchase, which can be important for justifying expenditures."
vendor_registration_date,"The date on which the vendor was registered, relevant for tracking vendor compliance and eligibility."
vendor_renewal_date,"The date on which the vendor's registration is set to be renewed, important for maintaining compliance."
who_can_use_desc,"Describes the eligibility criteria for who can utilize the award or IDV, relevant for program compliance."
type_of_fee_desc,"Describes the type of fee associated with the award or IDV, which can impact financial planning."
type_of_idc_desc,"Describes the type of indirect costs associated with the award or IDV, important for budgeting and financial analysis."
multiple_or_single_desc,"Indicates whether the award or IDV is for multiple or single purposes, which can affect funding distribution."
cost_or_pricing_data_code,"A code representing the type of cost or pricing data, useful for financial categorization."
mosa_code,"Indicates the code for the MOSA program, relevant for understanding specific procurement strategies."
sea_transportation_code,"A code related to sea transportation, which may be relevant for logistics and procurement."
approved_by,"The individual or entity that approved the award or IDV, important for accountability and tracking."
approved_date,"The date on which the award or IDV was approved, relevant for timeline analysis."
updated_via,"Indicates the method by which the record was updated, useful for tracking changes and maintaining data integrity."
base_date_signed,"The date on which the base contract was signed, important for contract management and compliance."
idv_base_date_signed,"The date on which the IDV base contract was signed, relevant for tracking IDV-specific timelines."
idv_ref_base_date_signed,"The date on which the reference IDV base contract was signed, important for understanding related contracts."
old_agency_code,"The previous agency code associated with the record, useful for historical tracking and analysis."
old_agency_name,"The previous name of the agency associated with the record, providing context for changes over time."
old_piid,"The previous PIID associated with the record, important for tracking historical data."
old_modification_number,"The previous modification number for the award or IDV, relevant for understanding changes made."
old_transaction_number,"The previous transaction number associated with the record, useful for historical reference."
old_idv_agency_code,"The previous agency code associated with the IDV, important for tracking changes in agency involvement."
old_idv_agency_name,"The previous name of the agency associated with the IDV, providing context for historical changes."
old_idv_piid,"The previous PIID associated with the IDV, relevant for tracking historical IDV data."
old_idv_modification_number,"The previous modification number for the IDV, important for understanding changes made to the IDV."
base_dollars_obligated,"The total amount of dollars obligated under the base contract, critical for financial analysis."
base_current_contract_value,"The current value of the base contract, important for understanding the financial status of the award."
base_ultimate_contract_value,"The ultimate value of the base contract, which can be important for long-term financial planning."
cage_code,"The CAGE code for the vendor, which is essential for identifying and verifying vendor information."
nasa_statutory_authority,"Indicates the statutory authority under which NASA operates, relevant for compliance and regulatory analysis."
closed_by,"The individual or entity that closed the award or IDV, important for accountability and tracking."
closed_date,"The date on which the award or IDV was closed, relevant for timeline analysis."
closed_status,"Describes the status of the award or IDV upon closure, providing insights into the final outcome."
idv_type_of_set_aside_v15,"Specifies the type of set-aside for the IDV, which is crucial for understanding the funding's intended beneficiaries."
idv_type_of_set_aside_desc_v15,"Provides a description of the set-aside type, offering clarity on the funding's restrictions."
type_of_set_aside_source,"Indicates the source of the set-aside, which is important for compliance and reporting purposes."
type_of_set_aside_source_desc,"Describes the source of the set-aside, providing additional context for the funding's allocation."
idv_number_of_offers_received,"Represents the number of offers received for the IDV, which can indicate competition levels."
number_of_offers_source,"Indicates the source of the number of offers received, relevant for understanding data collection methods."
number_of_offers_source_desc,"Provides a description of the source for the number of offers, adding clarity to the data's origin."
idv_co_bus_size_v15,"Specifies the size of the business involved in the IDV, which is important for compliance with size standards."
idv_co_bus_size_desc_v15,"Describes the business size determination for the IDV, providing context for the associated code."
idv_co_bus_size_source,"Indicates the source of the business size determination, relevant for compliance and reporting."
idv_co_bus_size_source_desc,"Provides a description of the source for the business size determination, adding clarity to the data's origin."
idv_naics_v15,"Represents the NAICS code associated with the IDV, which is essential for industry classification."
idv_naics_desc_v15,"Describes the NAICS code for the IDV, providing context for the industry classification."
naics_source,"Indicates the source of the NAICS code, relevant for understanding data collection methods."
naics_source_desc,"Provides a description of the source for the NAICS code, adding clarity to the data's origin."
additional_reporting,"Indicates whether additional reporting is required for the award or IDV, which can affect compliance obligations."
additional_reporting_desc,"Describes the nature of any additional reporting requirements, providing clarity on compliance needs."
total_estimated_order_value,"Represents the total estimated value of the order, which is crucial for budgetary and financial analysis."
non_federal_funding_amount,"Indicates the amount of funding that is not from federal sources, important for understanding funding diversity."
cfda_pin,"Represents the CFDA PIN associated with the award or IDV, which is important for tracking federal legacy_procurementance programs."
cfda_pin_desc,"Provides a description of the CFDA PIN, offering context for the associated identifier."
solicitation_date,"Indicates the date of solicitation, which is important for tracking the timeline of the procurement process."
total_actions,"Represents the total number of actions taken related to the award or IDV, useful for assessing activity levels."
total_dollars_obligated,"Indicates the total amount of dollars obligated under the award or IDV, crucial for financial reporting."
total_current_contract_value,"Represents the current value of the contract, which is important for understanding financial commitments."
total_ultimate_contract_value,"Indicates the ultimate value of the contract, providing insights into long-term financial implications."
total_non_government_value,"Represents the total value of funding that is not from government sources, important for funding analysis."
process_id,"A unique identifier for the process associated with the award or IDV, facilitating tracking and reference."
create_timestamp,"Indicates the timestamp when the record was created, useful for auditing and historical analysis."
last_modified_timestamp,"Represents the timestamp of the last modification made to the record, important for tracking changes over time."
delete_flag,"Indicates whether the record has been marked for deletion, which is essential for data integrity."
source_selection_process,"Describes the process used for source selection, relevant for understanding procurement strategies."
source_selection_process_desc,"Provides a description of the source selection process, adding clarity to the procurement methodology."
uei_name,"Represents the name associated with the Unique Entity Identifier, important for entity identification."
vendor_uei,"Indicates the Unique Entity Identifier for the vendor, which is crucial for tracking vendor information."
domestic_uei,"Represents the Unique Entity Identifier for domestic entities, important for compliance and reporting."
domestic_uei_name,"Indicates the name associated with the domestic Unique Entity Identifier, providing context for identification."
ultimate_uei,"Represents the Unique Entity Identifier for the ultimate parent entity, important for understanding organizational structure."
ultimate_uei_name,"Indicates the name associated with the ultimate Unique Entity Identifier, providing context for identification."
immediate_parent_uei,"Represents the Unique Entity Identifier for the immediate parent entity, important for organizational hierarchy."
immediate_parent_uei_name,"Indicates the name associated with the immediate parent Unique Entity Identifier, providing context for identification."
entity_data_source,"Describes the source of the entity data, relevant for understanding data collection methods."
primary_consortia_member_flag,"Indicates whether the entity is a primary member of a consortia, which can affect funding eligibility."
consortia_uei,"Represents the Unique Entity Identifier for the consortia, important for tracking consortia-related information."
consortia_uei_name,"Indicates the name associated with the consortia Unique Entity Identifier, providing context for identification."
consortia_address_line_1,"Provides the first line of the consortia's address, essential for location identification."
consortia_address_line_2,"Offers the second line of the consortia's address, useful for complete address details."
consortia_address_city,"Indicates the city of the consortia's address, important for geographical identification."
consortia_address_state,"Represents the state of the consortia's address, essential for regional identification."
consortia_zip_code,"Provides the zip code of the consortia's address, important for precise location identification."
consortia_country_code,"Represents the country code for consortia involved in the award or IDV, useful for international analysis."
consortia_cage_code,"Contains the CAGE code for the consortia, facilitating identification and verification of entities involved."
consortia_congressional_district,"Indicates the congressional district associated with the consortia, which can be important for political and funding analysis."
sbjv_flag,"Indicates whether the award or IDV is associated with a small business joint venture, relevant for compliance and reporting."
sdvobjv_flag,"Reflects whether the award or IDV is linked to a service-disabled veteran-owned small business joint venture, important for tracking veteran-related initiatives."
sba_cert_wosb_flag,"Indicates if the business is certified as a woman-owned small business, which is significant for diversity and inclusion efforts."
sba_cert_edwosb_flag,"Shows whether the business is certified as an economically disadvantaged woman-owned small business, relevant for compliance and funding opportunities."
_rescued_data,"Contains any data that has been rescued or recovered, which may be important for data integrity and completeness."
